ward code,Gentrificated
E05009292,FALSE
E05009305,FALSE
E05009317,FALSE
E05009318,FALSE
E05009319,TRUE
E05009320,FALSE
E05009321,TRUE
E05009322,TRUE
E05009323,FALSE
E05009324,FALSE
E05009326,FALSE
E05009327,FALSE
E05009329,FALSE
E05009331,TRUE
E05009332,FALSE
E05009333,TRUE
E05009334,TRUE
E05009335,FALSE
E05009336,TRUE
E05009367,FALSE
E05009368,TRUE
E05009369,TRUE
E05009370,TRUE
E05009371,TRUE
E05009372,TRUE
E05009373,TRUE
E05009374,TRUE
E05009375,TRUE
E05009376,TRUE
E05009377,TRUE
E05009378,TRUE
E05009379,TRUE
E05009380,TRUE
E05009381,TRUE
E05009382,TRUE
E05009383,TRUE
E05009384,TRUE
E05009385,TRUE
E05009386,TRUE
E05009387,FALSE
E05009388,FALSE
E05009389,FALSE
E05009390,TRUE
E05009391,FALSE
E05009392,FALSE
E05009393,FALSE
E05009394,FALSE
E05009395,FALSE
E05009396,TRUE
E05009397,TRUE
E05009398,TRUE
E05009399,TRUE
E05009400,TRUE
E05009401,FALSE
E05009402,FALSE
E05009403,TRUE
E05009404,TRUE
E05009405,FALSE
E05011095,TRUE
E05011096,TRUE
E05011097,FALSE
E05011098,TRUE
E05011099,TRUE
E05011100,TRUE
E05011101,TRUE
E05011102,TRUE
E05011103,FALSE
E05011104,TRUE
E05011105,FALSE
E05011106,FALSE
E05011107,FALSE
E05011108,TRUE
E05011109,TRUE
E05011110,TRUE
E05011111,FALSE
E05011112,FALSE
E05011113,TRUE
E05011114,TRUE
E05011115,FALSE
E05011116,TRUE
E05011117,TRUE
E05011218,FALSE
E05011232,TRUE
E05011233,TRUE
E05011238,FALSE
E05011252,TRUE
E05011254,TRUE
E05011255,TRUE
E05011467,TRUE
E05011472,TRUE
E05011473,TRUE
E05011485,TRUE
E05011486,TRUE
E05011489,TRUE
E05013498,TRUE
E05013499,FALSE
E05013500,FALSE
E05013501,TRUE
E05013503,FALSE
